Job Id,Experience,Qualifications,Salary Range,location,Country,latitude,longitude,Work Type,Company Size,Job Posting Date,Preference,Job Title,Role,Job Portal,skills,Company
1.08984E+15,5 to 15 Years,M.Tech,59-99,Douglas,Isle of Man,54.2361,-4.5481,Intern,26801,24-04-2022,Female,Digital Marketing Specialist,Social Media Manager,Snagajob,"Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",Icahn Enterprises
3.98454E+14,2 to 12 Years,BCA,56-116,Ashgabat,Turkmenistan,38.9697,59.5563,Intern,100340,19-12-2022,Female,Web Developer,Frontend Web Developer,Idealist,"HTML, CSS, JavaScript Frontend frameworks (e.g., React, Angular) User experience (UX)",PNC Financial Services Group
4.8164E+14,0 to 12 Years,PhD,61-104,Macao,"Macao SAR, China",22.1987,113.5439,Temporary,84525,14-09-2022,Male,Operations Manager,Quality Control Manager,Jobs2Careers,"Quality control processes and methodologies Statistical process control (SPC) Root cause analysis and corrective action Quality management systems (e.g., ISO 9001) Compliance and regulatory knowledge",United Services Automobile Assn.
6.88193E+14,4 to 11 Years,PhD,65-91,Porto-Novo,Benin,9.3077,2.3158,Full-Time,129896,25-02-2023,Female,Network Engineer,Wireless Network Engineer,FlexJobs,Wireless network design and architecture Wi-Fi standards and protocols RF (Radio Frequency) planning and optimization Wireless security protocols Troubleshooting wireless network issues,Hess
1.17058E+14,1 to 12 Years,MBA,64-87,Santiago,Chile,-35.6751,-71.5429,Intern,53944,11-10-2022,Female,Event Manager,Conference Manager,Jobs2Careers,Event planning Conference logistics Budget management Vendor coordination Marketing and promotion Client relations,Cairn Energy
1.16831E+14,4 to 12 Years,MCA,59-93,Brussels,Belgium,50.5039,4.4699,Full-Time,23196,25-07-2023,Male,Software Tester,Quality Assurance Analyst,Snagajob,"Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing",Adani Ports and Special Economic Zone
1.29217E+15,3 to 15 Years,PhD,63-103,George Town,Cayman Islands,19.3133,-81.2546,Temporary,26119,10-04-2023,Both,Teacher,Classroom Teacher,FlexJobs,Teaching pedagogy Classroom management Curriculum development Student assessment Differentiated instruction,FedEx
1.49878E+15,2 to 8 Years,M.Com,65-102,SÃƒÂ£o TomÃƒÂ©,Sao Tome and Principe,0.1864,6.6131,Contract,40558,20-09-2022,Female,UX/UI Designer,User Interface Designer,Indeed,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",Ryder System
1.68029E+15,2 to 9 Years,BBA,65-102,Male,Maldives,3.2028,73.2207,Temporary,105343,19-02-2022,Female,UX/UI Designer,Interaction Designer,Indeed,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,Zee Entertainment Enterprises
2.55628E+14,1 to 10 Years,BBA,60-80,Saint John's,Antigua and Barbuda,17.0608,-61.7964,Full-Time,102069,13-05-2022,Both,Wedding Planner,Wedding Consultant,Stack Overflow Jobs,Wedding planning Vendor coordination Event management,CSX
2.69696E+15,3 to 10 Years,BCA,57-104,Manama,Bahrain,26.0667,50.5577,Contract,130338,01-07-2023,Female,QA Analyst,Performance Testing Specialist,Glassdoor,Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis,McDonald's
1.91412E+15,3 to 15 Years,MCA,65-122,Kingston,Jamaica,18.1096,-77.2975,Part-Time,79071,17-01-2022,Both,Mechanical Engineer,Mechanical Design Engineer,Stack Overflow Jobs,"Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping",ThyssenKrupp AG
2.90762E+14,1 to 8 Years,B.Com,56-86,Banjul,Gambia,13.4432,-15.3101,Temporary,127900,24-05-2022,Female,Network Administrator,Network Security Analyst,FlexJobs,Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,EnLink Midstream
1.62754E+15,1 to 9 Years,MCA,57-98,Damascus,Syrian Arab Republic,34.8021,38.9968,Full-Time,92128,01-03-2022,Male,Account Manager,Sales Account Manager,USAJOBS,Account management Sales strategy Negotiation and closing skills,NGL Energy Partners
2.69197E+15,4 to 12 Years,M.Com,65-100,Sanaa,Yemen,15.5527,48.5164,Part-Time,92028,25-08-2023,Male,Brand Manager,Product Brand Manager,SimplyHired,Product branding and marketing Product lifecycle management Cross-functional team collaboration Product launch planning Market segmentation and targeting,Bayer AG
2.82389E+15,5 to 14 Years,M.Tech,60-83,San Marino,San Marino,43.9424,12.4578,Part-Time,49100,19-04-2022,Male,Social Worker,School Social Worker,Glassdoor,School social work principles Student assessment and intervention Special education laws Individualized education plans (IEPs) Crisis management Collaboration with educators Family engagement Advocacy Empathy and communication Documentation Cultural competence Licensing and certification,Deere
7.69021E+13,0 to 11 Years,BA,55-117,Papeete,French Polynesia,-17.6797,-149.4068,Full-Time,29318,18-05-2022,Male,Social Media Coordinator,Content Creator,Jobs2Careers,"Content creation (e.g., writing, editing, graphic design, video production) Content marketing Social media management SEO optimization Creative storytelling Audience engagement Analytics and reporting Adaptability Communication skills Creativity",Mondelez International
4.07981E+14,5 to 9 Years,PhD,65-128,Kinshasa,Democratic Republic Of Congo,-4.0383,21.7587,Temporary,48199,27-07-2022,Female,HR Generalist,HR Coordinator,Snagajob,Human resources Recruitment Employee onboarding HRIS (HR Information Systems) Record keeping Communication skills,KKR
9.40776E+14,0 to 15 Years,B.Tech,62-120,Baku,Azerbaijan,40.1431,47.5769,Full-Time,64351,13-02-2022,Both,Legal Assistant,Legal Secretary,The Muse,"Legal administrative tasks Document management Calendar and docketing Transcription File organization Communication with clients and courts Knowledge of legal terminology Attention to detail Multitasking Computer skills (e.g., MS Office)",NGL Energy Partners
1.52431E+15,0 to 10 Years,BCA,64-98,Funafuti,Tuvalu,-7.1095,177.6493,Intern,118041,03-09-2023,Both,Nurse Practitioner,Family Nurse Practitioner,Dice,Family medicine Health assessment Pediatric care Chronic disease management Patient education,EasyJet
2.50813E+15,1 to 8 Years,M.Tech,58-116,Asmara,Eritrea,15.1794,39.7823,Intern,40723,26-08-2023,Male,Account Director,Account Strategist,USAJOBS,Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills,Otis Worldwide
2.80873E+15,2 to 14 Years,PhD,62-124,Tegucigalpa,Honduras,15.199,-86.2419,Temporary,127385,03-07-2022,Both,Software Engineer,Backend Developer,CareerBuilder,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",Oil Search
2.27736E+15,3 to 9 Years,MBA,60-104,Road Town,British Virgin Islands,18.4207,-64.6399,Temporary,28043,02-08-2023,Both,Purchasing Agent,Supply Chain Coordinator,Jobs2Careers,Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination,HCL Technologies
1.50462E+15,5 to 15 Years,M.Tech,59-88,Budapest,Hungary,47.1625,19.5033,Contract,105370,28-11-2022,Male,Sales Consultant,B2B Sales Consultant,Jobs2Careers,B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research,Associated British Foods
2.42566E+15,4 to 15 Years,BA,64-100,Banjul,Gambia,13.4432,-15.3101,Part-Time,51537,23-01-2023,Male,Civil Engineer,Structural Engineer,Internships.com,"Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment",Xcel Energy
1.36146E+15,0 to 12 Years,M.Com,63-86,Funafuti,Tuvalu,-7.1095,177.6493,Intern,93670,21-01-2023,Female,Network Security Specialist,Security Operations Center (SOC) Analyst,Indeed,"SOC operations Security incident response Threat detection Log analysis Security tools (e.g., IDS/IPS) Security alerts triage",Deutsche Post DHL Group
1.35533E+15,2 to 10 Years,BBA,65-119,AsunciÃƒÂ³n,Paraguay,-23.442503,-58.443832,Intern,56930,06-06-2023,Female,UI Developer,Front-End Developer,Idealist,"Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility",Bodycote
2.02064E+15,4 to 8 Years,BA,55-83,Amman,Jordan,30.5852,36.2384,Intern,64185,19-03-2023,Female,Financial Planner,Tax Planner,FlexJobs,Tax planning strategies Tax law knowledge Financial analysis Retirement planning Estate planning Client relationship management Tax optimization Communication skills Attention to detail Tax software proficiency Regulatory compliance,Old Republic International
4.19222E+14,3 to 8 Years,BA,65-115,Santiago,Chile,-35.6751,-71.5429,Part-Time,101834,01-06-2023,Both,Event Planner,Event Coordinator,USAJOBS,Event planning Vendor coordination Budget management Marketing and promotion Logistics,United Airlines Holdings
6.19201E+14,1 to 14 Years,M.Com,57-121,Abuja,Nigeria,9.082,8.6753,Contract,130962,05-02-2022,Female,Psychologist,Clinical Psychologist,Jobs2Careers,Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills,Tenet Healthcare
2.06377E+15,1 to 13 Years,B.Com,65-82,Tripoli,Libya,26.3351,17.2283,Contract,38044,27-03-2023,Male,Electrical Designer,Electrical Engineer,Indeed,Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving,Regions Financial
1.88909E+15,0 to 8 Years,M.Com,62-130,Canberra,Australia,-25.2744,133.7751,Temporary,27725,02-11-2022,Both,Electrical Designer,Lighting Designer,Idealist,Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge,CBRE Group
9.81852E+14,3 to 10 Years,M.Com,58-129,Noumea,New Caledonia,-20.9043,165.618,Part-Time,35273,31-08-2023,Female,Data Analyst,Business Intelligence Analyst,Idealist,"Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making","Wyndham Hotels & Resorts, Inc."
3.02321E+15,0 to 12 Years,PhD,60-89,Muscat,Oman,21.4735,55.9754,Intern,103693,06-02-2022,Male,Technical Writer,Content Writer,USAJOBS,Writing skills Content creation SEO knowledge Research skills Grammar and proofreading,Corning
4.87917E+14,0 to 8 Years,BA,64-103,Gaza,West Bank and Gaza,31.9522,35.2332,Temporary,29884,25-02-2022,Female,UX/UI Designer,User Interface Designer,Internships.com,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",Leidos Holdings
1.70379E+15,4 to 12 Years,M.Com,57-100,Honiara,Solomon Islands,-9.6457,160.1562,Part-Time,104700,15-01-2023,Male,Tax Consultant,Personal Tax Consultant,Snagajob,Tax law knowledge Individual tax planning Tax return preparation Tax deductions and credits Tax compliance IRS regulations Client relationship management Communication skills Attention to detail Tax software proficiency,Divi's Laboratories
2.81208E+15,5 to 10 Years,MBA,58-81,SÃƒÂ£o TomÃƒÂ©,Sao Tome and Principe,0.1864,6.6131,Full-Time,47107,09-02-2023,Both,Software Tester,Automation Tester,Internships.com,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management",Tata Consumer Products
1.4627E+15,5 to 14 Years,BCA,56-109,Yamoussoukro,Cote d'Ivoire,7.54,-5.5471,Intern,61246,15-06-2023,Male,Account Executive,Sales Account Executive,Internships.com,Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,Fannie Mae
2.14925E+15,2 to 13 Years,BCA,55-121,Quito,Ecuador,-1.8312,-78.1834,Part-Time,43665,30-03-2022,Both,Systems Administrator,IT Support Specialist,SimplyHired,Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,Spotify Technology S.A.
